Myanmar,English
ကျွန်တော် မနက်ဖန် အားလို့ သူငယ်ချင်းနဲ့ လျှောက်လည်မယ်။,I am free tomorrow so I will go out with my friend
ည ဆယ့်နှစ်နာရီ ရှိပြီ၊ အသံ တိုးတိုး ပြောမယ်။,We will talk in a quiet voice because it is already midnight
စာရေးခုံပေါ်မှာ ဖတ်စာအုပ်နဲ့ မှတ်စုစာအုပ် ရှိတယ်။,There are a book and a notebook on the desk
အခု ဆယ်နာရီဆိုတော့၊ စာတိုက် ဖွင့်နေလောက်ပြီ။,It is  now so the post office must be open
ဒီစာရွက်မှာ နာမည်နဲ့ လိပ်စာ ရေးမယ်။,I will write my name and address on this form
မလုပ်ချင်ရင် မလုပ်လည်း ရတယ်။,If you dont like it you can stop
အခု ဆယ်နာရီပဲ ရှိသေးတယ်။,It is still  now
နောင်နှစ် ကျရင် နိုင်ငံခြားခရီးသွားမလို့ စိတ်ကူးနေတယ်။,I am thinking of travelling abroad next year
မစ္စတာတာနာခါ ဘယ်မှာ ရှိသလဲ။,Where is Mr Tanaka
အခန်းထဲမှာ သေတ္တာ ခြောက်လုံး ရှိတယ်။,There are six boxes in the room
အိမ်ကခွေးက အကြီးကြီးပဲ။,My dog is very big
နောက်လကျရင် အတူတူ လျှောက်လည်မယ်။ အဲဒီအတွက် မစ္စတာလီဆီ ဖြစ်နိုင်မယ့်ရက်ကို အကြောင်းကြားပါမယ်။,I will tell Mr Lee the days that work for me because we will be going out next month
ဒါ ကျွန်တော့်မှတ်စုစာအုပ်ပါ။,This is my notebook
ဒီသေတ္တာက အရမ်း လေးတယ်။,This box is very heavy
နှစ်တိုင်း မိသားစုနဲ့ ခရီးထွက်တယ်။,Every year I go on a family trip
ကျွန်တော် အမြဲတမ်း ဒီစူပါမားကက်မှာ ဈေးဝယ်တယ်။,I always shop at this supermarket
မနေ့က ပင်ပန်းသွားလို့ မနက်က နောက်ကျမှ အိပ်ရာထတယ်။,I was tired yesterday so I woke up late this morning
သိပ် မပင်ပန်းခဲ့ဘူး။,I didnt get very tired
အားနာစရာကောင်းလိုက်တာ။,Im very sorry
ဒီအပတ် စာမေးပွဲ လေးခုတောင် ရှိတယ်။,I have four tests this week
တစ်ဆိတ်လောက် မေးပါရစေ၊ ဒီအင်္ကျီ ဝတ်ကြည့်လို့ရမလား။,Excuse me may I try this shirt on
ဟိုမှာ ဓာတ်လှေခါး ရှိတယ်။,The lift is over there
သွားကိုက်လို့ ဘာမှ မစားနိုင်ဘူး။,I cannot eat anything because my teeth hurt
အိမ်ပြန်မယ်။,I will go home
ကွန်ပျူတာ သုံးပြီး အလုပ်လုပ်တယ်။,I use the computer to work
ပေါင်မုန့်တို့ ကြက်ဥတို့ စားတယ်။,I eat bread egg and so on
ဗလာစာအုပ်က လွယ်အိတ်ထဲမှာ ရှိတယ်။,The notebook is inside the bag
ရေခဲသေတ္တာထဲမှာ ကြက်ဥ ခုနစ်လုံး ရှိတယ်။,There are seven eggs in the refrigerator
စူပါမားကက်ကို ဈေးဝယ် သွားတယ်။,I will go shopping at the supermarket
နာမည် ရေးပါ။,Please write your name
ရထားစီးတဲ့အခါ လက်မှတ် ဝယ်တယ်။,We will buy a ticket when we ride the train
ကျွန်တော် ဂျပန်အနှံ့ ခရီးသွားချင်တယ်။,I would like to travel all around Japan
ကျွန်တော် အမြဲတမ်း အိပ်ရာမှာ အိပ်တယ်။,I always sleep in my bed
ဒါ ခန္ဓာကိုယ်အတွက် မကောင်းတဲ့စားစရာ။,This food is bad for you
အိမ်စာ တစ်ဝက်လောက် ပြီးသွားပြီ။,I finished about half of my homework
ကျွန်တော် ဒီဟင်း မှာမယ်။,I will order this dish
မစ္စတာဟယရှိရဲ့ အိမ်မှာ ကြောင် တစ်ကောင် ရှိတယ်။,Mr Hayashi has one cat in his house
အိတ်ကပ်ထဲ ပိုက်ဆံ ထည့်တယ်။,I will put money in my pocket
ဘယ်တုန်းကတည်းက ဂျပန်စာကို လေ့လာနေတာလဲ။,When did you start studying Japanese
မစ္စတာမဆုအိက အသံကျယ်တယ်။,Mr Matsuis voice is big
မစ္စတာခိမုရ ဘယ်တစ်ခုကို ကြိုက်လဲ။,Ms Kimura which one do you like
မနေ့က သော့ ပျောက်သွားတယ်။,I lost my keys yesterday
မုန်တိုင်းကြောင့် ရထားနောက်ကျတယ်။,The train was delayed by the typhoon
အခန်းက မှောင်လို့ မီးကို ထွန်းတယ်။,The room is dark so I will turn on the light
ဘာနဲ့ ကုမ္ပဏီကို သွားမလဲ။,What transport do you use to get to work
စာကြည့်တိုက်ထဲမှာ မစ္စတာတာနာခါ စာဖတ်နေတာ တွေ့လိုက်တယ်။,I saw Mr Kobayashi studying at the library
တက္ကသိုလ်ပြီးရင် ချက်ချင်း အလုပ်လုပ်မယ်။,I will work as soon as I graduate university
မစ္စတာမဆုအိရဲ့ အိမ်က ကျွန်တော့်အိမ်ရဲ့ ဘေးမှာ ရှိတယ်။,Mr Matsuis house is near my house
ဒီည ဘယ်မှ မသွားချင်ဘူး။,I do not want to go anywhere tonight
မစ္စတာခိုဘာယာရှိက အပြာရောင်ထီးကို ကိုင်ထားတယ်။,Mr Kobayashi has a blue umbrella
တံဆိပ်ခေါင်း ဆယ်ခုနဲ့ ပို့စကတ် သုံးခု ဝယ်မယ်။,I will buy ten stamps and three postcards
မစ္စတာတာနာခါက အိမ် အကြီးကြီးမှာ နေတယ်။,Mr Tanaka lives in a big house
ဒီနေ့ လေမတိုက်ဘူး။,There is no wind today
များများ လေ့ကျင့်ရင် ဂျပန်စကား ကျွမ်းလာမယ်။,If you practise a lot your Japanese will get better
ဒီဟင်းက အိမ်မှာ ချက်လို့ရတယ်။,This dish can be made at home
ကျွန်တော့်ရဲ့ အခန်းမှာ စာရေးခုံတို့ အိပ်ရာတို့ တီဗွီတို့ ရှိတယ်။,There are a desk bed and TV in my room
တက္ကစီ တစ်စီး ခေါ်မယ်။,I will call a taxi
ခြေထောက်နာလို့ ဖြည်းဖြည်း လျှောက်မယ်။,Because my feet hurt I will walk slowly
မစ္စတာယာမာဒါကို ပိုက်ဆံချေးမယ်။,I will lend money to Mr Yamada
ကျွန်တော် မနက်ဖန် ဘူတာမှာ သူငယ်ချင်းနဲ့ တွေ့ပြီး သူနဲ့အတူ ဂီတပွဲ သွားမယ်။,Tomorrow I will go to the station to meet my friend and we will go to a concert together
ဖိနပ်အသစ် စီးပြီး အပြင်ထွက်မယ်။,I will wear new shoes and go out
အဲဒီတက္ကသိုလ်ကို သွားမယ်ဆိုရင် စက်ဘီးက အဆင်ပြေတယ်။,It is easier to use a bicycle if you are going to that university
မနက်တိုင်း နွားနို့ အေးအေး တစ်ခွက် သောက်တယ်။,I drink one cold glass of milk every morning
မနက် အိပ်ရာထပြီးတော့ မျက်နှာသစ်တယ်။,When I wake up I wash my face
ဒီဘောင်းဘီက ကျွန်တော်နဲ့ သေးလို့ ဝတ်လို့မရဘူး။,I cannot wear these trousers because they are too small
ပုံးထဲကို မှတ်စုစာအုပ်နဲ့ ဘောပင် ထည့်မယ်။,I put notebooks and pens inside the box
စာကြည့်တိုက်မှာ စာဖတ်မလို့ လုပ်ထားတာ စာကြည့်တိုက် မဖွင့်ဘူး။,I was going to study at the library but it was closed
မစ္စတာတာနာခါ အခု ဘာလုပ်နေလဲ။,What is Mr Tanaka doing
ဟိုဆိုင်မှာ စားလို့ကောင်းတဲ့မုန့်တွေ ရောင်းတယ်။,That shop has tasty snacks
ဘာ လိုချင်ပါသလဲ။,Which one do you want
စာကြည့်တိုက်မှာ မစ္စတာယာမာဒါနဲ့ အတူတူ စာဖတ်မယ်။,I will study with Mr Yamada at the library
ဒီည အရမ်း အေးတယ်။,It is very cold tonight
လေယာဉ်ပျံ စီးမယ်။,I will get on the airplane
ကျွန်တော့်ကို မြို့ငယ်လေးတစ်မြို့မှာ မွေးခဲ့တယ်။,I was born in a small town
ည အရမ်း မိုးချုပ်ပြီမို့ တစ်ယောက်တည်း ပြန်ရမှာ အန္တရာယ်များတယ်။,It is dangerous to go home by yourself because it is already late
မနေ့ညက မစ္စတာခိမုရနဲ့ ညစာ သွားစားတယ်။,I went to eat dinner with Ms Kimura last night
နှစ်မိနစ် စောင့်ပါ။,Please wait for two minutes
ကျွန်တော် နေ့တိုင်း ကျောင်းကို လမ်းလျှောက်သွားတယ်။,I walk to school every day
နောက်အပတ် မစ္စတာလီရဲ့ အစ်ကို ဂျပန်ကို အလည်လာမယ်။,Mr Lees elder brother will come to Japan next week
မနက်ဖန် သံရုံး မသွားလို့မဖြစ်ဘူး။,I must go to the embassy tomorrow
ဟုတ်ကဲ့ အမိန့်ရှိပါ။ မဆုအိပါ ရှင်။,Yes hello This is Matsui
ဂျပန်ကားက ဈေးကြီးပေမဲ့ ကောင်းတယ်။,Japanese cars are expensive but good quality
ဒီအိမ်ခန်းက အိမ်လခ ဈေးကြီးတယ်။,The rent for this flat is expensive
ဒီလမ်းက ကွေ့ကောက်နေတယ်။,This road has twists and turns
ရေဒီယိုကက်ဆက်က ရေဒီယိုရော သီချင်းရော နားထောင်လို့ရတယ်။,You can listen to both music and the radio on a radio cassette recorder
ပါတီပွဲကို လူတွေ အများကြီး လာကြတယ်။,Many people came to the party
ရှပ်အင်္ကျီ တစ်ထည် ရှိတယ်။,There is a shirt
ရှေ့လက နိုင်ငံခြားကို ခရီးထွက်ခဲ့တယ်။,I went on a trip abroad last month
ပိုက်ဆံအိတ်ထဲ အကြွေးဝယ်ကတ်ကို ထည့်တယ်။,I will put my credit card in my wallet
စာမေးပွဲ ဖြေပြီးပြီလား။ ပြီးရင် ထပ်လိုက်ပါ။,Have you finished your test Well then please hand it in
ပန်းခြံမှာ သစ်ပင်တွေ ရှိတယ်။,There is a tree in the park
မစ္စတာခိမုရကို ခရီးသွားတုန်းကဓာတ်ပုံ ပြလိုက်တယ်။,I showed vacation pictures to Mr Kimura
ကျွန်တော် အဲဒီလူရဲ့ အကြောင်းကို မမှတ်မိဘူး။,I didnt remember that person
ဧည့်လမ်းညွှန်က မြို့ရဲ့ အကြောင်းကို ပြောပြပေးတယ်။,The guide taught us about this town
ရုပ်ရှင်ကြည့်ခဲ့တယ်။,I watched a film
လူငယ်ပိုင်းတုန်းကဆို ခဏခဏ ရေကူးတယ်။,I used to swim a lot when I was young
ဒီစာစီစာကုံးကို ရေးတဲ့သူက ဘယ်သူလဲ။ နာမည်တပ်မထားဘူး။,Who wrote this essay There is no name
အဲဒီစားသောက်ဆိုင်ကဆက်မီနူးက ဈေးသက်သာပြီး စားလို့ကောင်းတယ်။,The set meal in that cafeteria is cheap and good
ကျွန်တော် မနေ့ကတည်းက လည်ချောင်းနာနေတယ်။,My throat hurts from yesterday
ဒါ အရေးကြီးတဲ့စာပါ။,This is a very important letter
ကျွန်တော့်အခန်းတံခါးက ပိတ်လို့မရဘူး။,The door to my room wouldnt close
ဒီအခန်းထဲကို ဝင်လို့မဖြစ်ဘူး။,You cannot go into this room
ကျွန်တော် မနက်တိုင်း မနက်စာစားတယ်။,I eat breakfast every day
ဘူတာကနေ စာကြည့်တိုက်အထိ နှစ်ကီလိုမီတာ ရှိတယ်။,It is two kilometres from the station to the library
မစ္စတာမဆုအိက ကျွန်တော့်ကို ကော်ဖီဖျော်ပေးတယ်။,Mr Matsui poured me some coffee
ကိတ်မုန့်ကို ဓားနဲ့ လေးပိုင်း ပိုင်းတယ်။,I cut the cake into four pieces using a knife
ခေါင်းကိုက်လို့ ဒီနေ့ စောစော အိပ်မယ်။,My head hurts tonight so I will go to sleep early
ဒီပုစ္ဆာက အရမ်း လွယ်တယ်။,This question is very easy
အမည်းရောင်အိတ်အကြီးကြီးက ကျွန်တော့်ဟာပါ။,The big black bag is mine
စာအုပ်ဆိုင်ကနေ ခရီးသွားလမ်းညွှန်စာအုပ် ဝယ်လာတယ်။,I bought a travelling book at a book store
နောက်ထပ် အလုပ်လေး နည်းနည်း လုပ်ပြီး ပြန်မယ်။,I will go home after I do a little bit more work
ဒီမှာ ပစ္စည်း ထားလို့မရဘူး။,You cannot put things here
မနက်ဖန် မနက်ပိုင်း ကျောင်းမှာ ရှိမယ်။,I will be at school tomorrow morning
အိမ်ပြန်ရောက်ရင် သန့်ရှင်းရေးလုပ်မယ်လို့ စိတ်ကူးတယ်။,I am thinking of cleaning when I get home
တီဗွီကြည့်ရင်း ထမင်းစားတယ်။,I ate food while watching TV
ခုနစ်နာရီမှာ အိမ်က ထွက်မယ်။,I leave home at seven
ဘူတာမှာ ပတ်စပို့ ပျောက်သွားတယ်။,I lost my passport at the station
ဒီညတော့ အချိန် နည်းနည်းကြာကြာလေးလောက် စာဖတ်မယ်လို့ စိတ်ကူးထားတယ်။,I am thinking of studying for a long time this evening
အဖေ့ရဲ့ မွေးနေ့က ခြောက်လပိုင်း ငါးရက်နေ့ပါ။,My fathers birthday is the fifth of June
ဆယ့်တစ်နာရီမှာ အိပ်တယ်။,I will go to sleep at
တက္ကစီနဲ့ အိမ်ပြန်မယ်။,I go home by taxi
ကျွန်တော့်အိမ်က ခွေးက ကြီးတယ်။,My familys dog is big
ဂျပန်စာ လေ့လာရတာ ပျော်တယ်။,Studying Japanese is fun
ညစာကို နေ့တိုင်း ကိုယ်ပဲ ချက်တယ်။,It is me who cooks dinner every day
ဒီစက္ကူကို အလျားလိုက် ဖြတ်မယ်။,I will cut this paper vertically
ကျွန်တော့်အခန်းမှာ ထိုင်ခုံ သေးသေးလေး ရှိတယ်။,There is a small chair in my room
ရေခဲသေတ္တာထဲမှာ ဘာမှ မရှိဘူး။,There is nothing in the refrigerator
ဒီနေ့ မနက်စာ မစားခဲ့ဘူး။,I did not eat breakfast today
မစ္စတာဟယရှိဆီက စိတ်ဝင်စားစရာကောင်းတဲ့စကားကို ကြားခဲ့တယ်။,I heard an interesting story from Mr Hayashi
အဖိုးထိုက်တဲ့အရာ မဟုတ်ပေမဲ့ လက်ခံပေးပါ။,This isnt much but please take it
ကျွန်တော်က ကျောင်းသားပေမဲ့ အစ်ကိုကတော့ ကုမ္ပဏီဝန်ထမ်းပါ။,I am a student but my elder brother works at a company
စာသင်ချိန်အတွင်း ဆရာက တပည့်ကို မေးခွန်းမေးတယ်။,The teacher asked the students questions during class
ဘေးနားကစာသင်ခန်းက အရမ်း စည်ကားတယ်။,The class next to ours is very loud
ကင်မရာအသစ် ဝယ်လိုက်တယ်။,I bought a new camera
မနက်က မိုးရွာပေမဲ့ အခု နေသာနေတယ်။,It was raining this morning but it is sunny now
ဒါရယ် အဲဒါရယ် လိုချင်ပါတယ်။,I want this and that
ဒီလ နှစ်ဆယ်ရက်နေ့မှာ ဂျပန်စာစာမေးပွဲ ရှိတယ်။,There is going to be a Japanese test on the twentieth of this month
အနွေးထည် ယူပြီး အပြင်ထွက်တယ်။,I will bring a jacket and go out
စာမေးပွဲမှာ အဖြေကို ဘောပင်နဲ့ ရေးတယ်။,We write answers on tests with ballpoint pens
လက်ဖက်ရည်လေးဘာလေး သောက်ရအောင်လား။,Why dont we have some tea
ဒီနှစ်နွေရာသီပိတ်ရက်မှာ ပင်လယ်ကိုလည်း သွားဖြစ်တယ်၊ တောင်လည်း တက်ဖြစ်တယ်။,I went to the beach and climbed a mountain this summer vacation
ကျောင်းဆင်းတော့ သူငယ်ချင်းနဲ့ ကော်ဖီဆိုင်မှာ လက်ဖက်ရည် သောက်တယ်။,I went to a coffee shop and had tea with my friend after school
နည်းနည်း အိုက်လို့ ပြတင်းပေါက် ဖွင့်မယ်။,It is a little hot so I will open the window
မစ္စတာတာနာခါ ဆယ်နာရီဝန်းကျင်လောက် ဘူတာကို ရောက်မယ်။,Mr Tanaka will arrive at the station at about
ရေနွေးကြမ်း ပူပူလေး သောက်ချင်တယ်။,I would like to drink some hot tea
ဓာတ်ပုံတွေ အများကြီး ရိုက်လိုက်လို့ ဖလင် မရှိတော့ဘူး။,I took a lot of pictures so I do not have any more film
မစ္စတာလီ အအေးမိနေလို့ နေမကောင်းဘူး။,Mr Lee caught a cold so he is not healthy
ဒီနေ့ ဘယ်သူမှ မလာဘူး။,No one came today
ကျွန်တော် နွားနို့ မကြိုက်လို့ သိပ် မသောက်ဘူး။,I dont like milk so I dont drink it that much
မနက်ဖန် အတန်းမှာ စာစီစာကုံး ရေးရမှာမို့လို့ အဘိဓာန် လိုတယ်။,I need a dictionary because we will be writing an essay in class tomorrow
ဟိုထောင့်ကနေ ညာဘက်ကွေ့ရင် စူပါမားကက် ရှိတယ်။,If you turn right at that corner there is a supermarket
ခုနစ်လပိုင်းရောက်ရင် တဖြည်းဖြည်း ပူလာမယ်။,The weather will become warmer in July
စာအုပ်က လွယ်အိတ်ထဲမှာပါ။,The book is in the bag
ကျွန်တော် ခန်းဂျီး ရေးတတ်တယ်။,I can write kanji
မစ္စတာယာမာဒါ ဘယ်ဟာ စားချင်ပါသလဲ။,Which one do you want to eat Mr Yamada
ထမင်း မစားခင် လက်ဆေးတယ်။,I wash my hands before eating
သန်ဘက်ခါ ဘေ့စ်ဘောပြိုင်ပွဲ ရှိတယ်။,There is a baseball game the day after tomorrow
မစ္စတာခိမုရက ဖုန်း ငှားပေးထားတယ်။,I borrowed a phone from Mr Kimura
ဒီကုန်စိမ်းဆိုင်က ရှစ်ရက်နေ့တိုင်း ဈေးချတယ်။,On the eighth of every month things are cheaper in this vegetable shop
အစစအရာရာ ကျေးဇူးတင်ပါတယ်။,Thank you for everything
ကျွန်တော့်ကို ရှစ်လပိုင်း နှစ်ဆယ့်ခြောက်ရက်မှာ မွေးခဲ့တယ်။,I was born on  August
လမ်းဆုံမှာ ရဲတွေ အများကြီးပဲ။,There are a lot of policemen at the intersection
ခုနစ်နာရီတောင် ခွဲပြီ၊ အိမ်က မထွက်လို့မဖြစ်တော့ဘူး။,It is already  so I must get out of the house
မစ္စတာခိုဘာယာရှိက အပြာရောင်ရှပ်အင်္ကျီကို ဝတ်ထားတယ်။,Mr Kobayashi is wearing a blue shirt
ဒီနေ့သင်ခန်းစာက ဒီလောက်ပါပဲ။ နောက်အပတ်မှ ထပ်တွေ့မယ်။,Well then that is all for todays class Lets meet next week
စာရေးခုံအောက်မှာ လွယ်အိတ် ရှိတယ်။,There is a bag under the desk
စူပါမားကက်မှာ ညစာအတွက် ဈေးဝယ်ခဲ့တယ်။,I shopped for dinner at the supermarket
စားသောက်ဆိုင်မှာ ထမင်းစားတယ်။,I eat at the cafeteria
စုစုပေါင်း တစ်ဆယ် ရှိတယ်။,There are ten in all
ကျွန်တော် မနက်တိုင်း ကော်ဖီ သောက်တယ်။,I drink coffee every morning
ခရီး အတူတူ သွားကြမလား။,Would you like to go on a trip together
ဒီလ အလုပ် အရမ်း ရှုပ်တယ်။,I was very busy with work this month
ဟိုမှာ ကြောင်လေး အိပ်နေတယ်။,The cat is sleeping over there
ဒီမြို့က ကြီးပြီး စည်ကားတဲ့မြို့ ဖြစ်တယ်။,This place is a big and bustling town
ယန်းသုံးသောင်းနဲ့ ကင်မရာ ဝယ်လိုက်တယ်။,I bought a camera for  yen
ကျွန်တော် အခု ပိုက်ဆံ မရှိဘူး။,I do not have any money right now
ကျောင်းပိတ်တယ်။,There is no school
ကျွန်တော် ခုနစ်နာရီခွဲမှာ အိပ်ရာထတယ်။,I wake up at
ဒီပန်းက သေးပြီး နီတယ်။,This flower is small and red
ဒီဘက်က မစ္စတာခိုဘာယာရှိပါ။,This is Mr Kobayashi
ဒါဖြင့်၊ အတန်းစမယ်။,We will be starting class now
မနေ့က ဖျားလို့ ကျောင်းမသွားဘူး။,I didnt go to school because I had a fever yesterday
ကုန်တိုက်တို့ စူပါမားကက်တို့မှာ ဈေးဝယ်တယ်။,I shop at department stores and supermarkets
ဒီနေ့ အမျိုးသမီးရဲ့ မွေးနေ့မို့လို့ အိမ် စောစော ပြန်ဖြစ်အောင် ပြန်မယ်။,It is my wifes birthday today so I am thinking of going home early
ဒီမဂ္ဂဇင်းက ဖတ်လို့ကောင်းတယ်။,This magazine is interesting
အိတ်ကို ပိတ်မထားဘူး။,The bag wasnt closed
စာသင်ခန်းမှာ စာရေးခုံနဲ့ ထိုင်ခုံ ရှိတယ်။,There are desks and chairs in the classroom
ဟို ငယ်ရွယ်ပြီး သွက်လက်တဲ့ လူက မစ္စတာယာမာဒါပါ။,That young energetic person is Mr Yamada
မစ္စတာလီကို ပဲငံပြာရည် ယူပေးလိုက်တယ်။,I passed the soy sauce to Mr Lee
နွေဦးရောက်ရင် နွေးလာမယ်။,It gets warm when it is spring
အိမ်ရဲ့ အနောက်ဘက်မှာ ကား ရှိတယ်။,There is a car behind the house
နှစ်တိုင်း မွေးနေ့မှာ ကိတ်မုန့် စားလေ့ရှိတယ်။,I eat cake for my birthday every year
ပြတင်းပေါက် ပွင့်နေတယ်။,The window is open
နောက်အပတ် အဲဒီကို သွားရင် သောက်စရာ ဝယ်သွားမယ်။,I will buy a drink and bring it with me when I go there next week
အခု မနက်ခုနစ်နာရီပါ။,It is seven in the morning right now
အင်္ကျီလေးက လှတယ်နော်။,Your clothes are beautiful
ကျွန်တော် မစ္စတာမဆုအိ ရေးတဲ့ စာစီစာကုံးကို ဖတ်တယ်။,I read the composition Mr Matsui wrote
အမလေး၊ တော်ပါသေးရဲ့။,Oh good
ရေချိုးခန်းထဲမှာ ခေါင်းလျှော်ရည် မရှိဘူး။,There was no shampoo in the bath
နောက်အပတ် အိမ်ခြံမြေဝန်ဆောင်မှုရုံးခန်းမှာ အိမ်ခန်းအသစ် သွားရှာမယ်။,I will go to a real estate office next week to find a new room
မနေ့က အရမ်း အေးလို့ အအေးမိသွားတယ်။,I caught a cold because it was very cold yesterday
ညတိုင်း ရေချိုးပြီးမှ အိပ်တယ်။,I always take a shower in the evening before going to bed
စာအုပ်လေးဘာလေး နည်းနည်းပါးပါး ဖတ်ပြီး အိပ်မယ်။,I will read a little before sleeping
စားသောက်ဆိုင်ကထမင်းက ဈေးပေါတယ်။ ပြီးတော့ စားလို့လည်း ကောင်းတယ်။,The food at the cafeteria is cheap and it tastes good
ကျွန်တော် တိတ်ဆိတ်ပြီး လှပသန့်ရှင်းတဲ့နေရာမှာ နေချင်တယ်။,I want to live in a quiet and beautiful place
ဒီည ဘူတာမှာ မစ္စတာခိမုရနဲ့ တွေ့မယ်။,I will meet Ms Kimura at the station this evening
ဒီနာရီက ယန်းထောင့်ငါးရာပါ။,This clock costs  yen
အမေ့ကို မွေးနေ့လက်ဆောင် ပေးတယ်။,I gave my mother a birthday present
လက်ကို အပေါ်ကို မြှောက်တယ်။,I will raise my hand
ကျွန်တော်နဲ့ မစ္စတာမဆုအိနဲ့က အတန်း အတူတူပဲ။,I am in the same class as Mr Matsui
ဆေးသောက်လိုက်တာမို့လို့ ကောင်းသွားမှာပါ။,I already took my medicine so Im alright
နောက်အပတ် အစ်မ မင်္ဂလာဆောင်မယ်။,Next week is my sisters wedding
ပိုက်ဆံအိတ် ပျောက်သွားလို့ ရဲစခန်းကို သွားမယ်။,I will go to the police box because I lost my wallet
ပန်းကန်ပြားအသစ်ကို သုံးမယ်။,I will use a new plate
နွေကုန်ရင် ဆောင်းဦး လာမယ်။,When summer ends autumn comes
ကောင်တာကနေ ငွေလွှဲပုံစံစာရွက် ရခဲ့တယ်။,I received a bank transfer form at the counter
မင်းတို့ရဲ့ စာသင်ခန်းက သုံးထပ်မှာ။,Everyone your classroom will be on the third floor
နွေဦးရာသီထဲ ဝင်လာပေမဲ့ နွေးမလာသေးဘူး။,Spring has come but it hasnt become warm yet
လတိုင်း နိုင်ငံခြားကသူငယ်ချင်းဆီကို စာရေးတယ်။,Every month I write a letter to my friend overseas
ဒီနေရာကို နှိပ်ရင် ကော်ဖီ ထွက်တယ်။,If you push here coffee will come out
အဖေက ကျောင်းဆရာပါ။,My father is a teacher
ဘယ်နိုင်ငံကပါလဲ။,Where is your country
မိုးရွာနေလို့ ကျောင်းကို ထီးဆောင်းသွားတယ်။,It is raining so I will put up an umbrella and go to school
ကျွန်တော် မနက်တိုင်း သုံးကီလို ပြေးတယ်။,I run three kilometres every morning
လေဆိပ်မှာ ပတ်စပို့ကို ပြတယ်။,We show our passports at the airport
ဟို အရပ်ပုပုနဲ့လူက မစ္စတာခိမုရပါ။,That short person is Ms Kimura
မနက်တိုင်း ပြေးနေလို့ နည်းနည်းတော့ ပိန်သွားတယ်။,I ran every day so I got skinnier
ချမ်းပေမဲ့လည်း ရေကူးမယ်။,I will swim even if it is cold
ဟင်းရွက်တွေကို လှီးပြီး ဆေးမယ်။,After cutting this vegetable I will wash it
မြေအောက်လိုင်းက ဈေးပေါပြီး အရမ်း အဆင်ပြေတယ်။,The underground train is cheap fast and very convenient
ဒီမေးခွန်းအတွက် အဖြေ သုံးခု ရှိတယ်။,There are three answers to this question
မစ္စတာလီက ဂျပန်ဘာသာနဲ့ စာတစ်စောင် ရေးခဲ့တယ်။,Mr Lee wrote a letter in Japanese
တီဗွီက စန္ဒရားဘေးမှာ ရှိတယ်။,There is a TV next to the piano
ဆရာအသစ်က ဘယ်သူပါလဲ။,Who is the new teacher
B တစ်၊ နှစ်၊ သုံး၊ လေး ။,B One two three four
အခု ကျွန်တော့်မိဘတွေ နိုင်ငံခြားမှာ နေတယ်။,My parents are overseas
သီချင်းဆို ညံ့လို့ အဆိုလေ့ကျင့်မလား စဉ်းစားနေတယ်။,I am not good at singing so I am thinking of practising
မစ္စတာယာမာဒါက ညီမလေးကို စာအုပ် ပေးတယ်။,Mr Yamada gave a book to my little sister
မစ္စတာခိမုရက ကျွန်တော့်ရဲ့ အထုပ်ကို ကူသယ်ပေးတယ်။,Mr Kimura carried my baggage for me
အခန်းထဲမှာ ညီမလေး ငိုနေတယ်။,My sister is crying in her room
ဒါဆိုရင်၊ ကူညီပေးပါ။,Well then thank you
ရှစ်နာရီမှာ အိမ်က ထွက်တယ်။ ပြီးတော့ ဘတ်စကားနဲ့ ကျောင်းကို သွားတယ်။,I leave the house at  and I go to school by bus
အဖေ မနက် အိပ်ရာထတိုင်း သတင်းစာ ဖတ်တယ်။,Every morning my father reads the newspaper after waking up
ကျွန်တော် စားသောက်ဆိုင်မှာ နေ့လယ်စာ စားပြီးသွားပြီ။,I have already had lunch at the cafeteria
မနေ့က မစ္စတာခိမုရကို ဒီမြို့ရဲ့  မြေပုံ ပေးလိုက်တယ်။,I gave a map of this town to Mr Kimura yesterday
ဘေးအိမ်က ခွေးက အကောင်မကြီးဘူး။,The dog next door is not very big
စာကြည့်တိုက်မှာ စာအုပ်စင်တွေ အများကြီး တန်းစီနေတယ်။,There are a lot of bookshelves lined up in the library
ကျွန်တော် ဝက်သား မစားနိုင်ဘူး။,I cannot eat pork
ကျွန်တော်က နွေဦးထက် ဆောင်းဦးကို ပိုနှစ်သက်တယ်။,I like autumn better than spring
စာသင်ချိန်မှာ အဲဒီလူ အမြဲတမ်း နားငြီးအောင် လုပ်တယ်။,That person is always loud during class
သူငယ်ချင်းဆီက စိတ်ဝင်စားစရာ မကောင်းတဲ့စကားကို ကြားရတယ်။,I listened to a boring story from my friend
သွားနာလို့ ပါးစပ် ဟလို့မရဘူး။,I cannot open my mouth because my teeth hurt
တီဗွီ ကြည့်ရင်း ထမင်းစားတယ်။,I eat while watching TV
ဈေးသက်သာရင် ဝယ်မယ်။,If they are cheap I will buy them
အတော်ပဲ၊ အခု ညစာစားနေတုန်း။,Im eating dinner right now
မနက်ဖန် အထုပ် ရောက်မယ်။,The baggage will arrive tomorrow
မစ္စတာဟယရှိရဲ့ ညီလေးက ဘောလုံး ကစားနေတယ်။,Mr Kobayashis little brother plays football
ထမင်းစားပြီးရင် သွားတိုက်တယ်။,I will brush my teeth after eating
