Myanmar,English
နေ့တိုင်း တီဗွီ ကြည့်ပြီး ဂျပန်စာကို မှတ်တယ်။,I remember Japanese by watching TV every day
တတိယထပ်ကို ဘယ်လို သွားရမလဲ။,How do we get to the third floor
အဝါရောင်ရှပ်အင်္ကျီ ဝတ်ထားတဲ့တစ်ယောက်က မစ္စတာဟယရှိပါ။,The person who is wearing a yellow shirt is Mr Hayashi
မနက်ဖန် နိုင်ငံခြားသားမိတ်ဆွေနဲ့ တွေ့မယ်။,I will meet a foreigner friend tomorrow
ဘူတာကနေ ဆေးရုံကို ဘတ်စကားနဲ့ ဆယ်မိနစ် ကြာတယ်။,It takes  minutes by bus from the station to the hospital
ပန်းခြံမှာ ကလေးတွေ ကစားနေတယ်။,There are children playing at the park
မစ္စတာမဆုအိက ဘောလုံးထက် ဘေ့စ်ဘော ပိုတော်တယ်။,Mr Matsui is better at football than baseball
မစ္စတာဟယရှိရဲ့ အမျိုးသားက ဆေးရုံမှာ အလုပ်လုပ်နေတယ်။,Ms Kobayashis husband works at a hospital
မနေ့က သူငယ်ချင်းဆီ စာရေးခဲ့တယ်။,I wrote a letter to my friend yesterday
သန်ဘက်ခါ ဘေ့စ်ဘောပြိုင်ပွဲ ရှိတယ်။,There is a baseball game the day after tomorrow
ကျွန်တော် နွေရာသီပိတ်ရက်မှာ ခရီးထွက်တယ်။,I travelled during summer vacation
ရဲကင်းက ရဲသားကို လမ်းမေးခဲ့တယ်။,I asked the police at the police box which way to go
ကုမ္ပဏီ သွားတဲ့အခါ အနောက်တိုင်းဝတ်စုံ ဝတ်တယ်။,I wear a suit when I go to work
မစ္စတာခိမုရက ဖုန်း ငှားပေးထားတယ်။,I borrowed a phone from Mr Kimura
တနင်္လာနေ့၊ ဗုဒ္ဓဟူးနေ့နဲ့ သောကြာနေ့တွေမှာ ဘောလုံးလေ့ကျင့်ရေး ရှိတယ်။,I have football practice on Mondays Wednesdays and Fridays
ဒီည ကျွန်တော် ဘူတာမှာ မစ္စတာခိုဘာယာရှိကို စောင့်မယ်။,I will wait for Mr Kobayashi at the station this evening
ကား ဝယ်ထားရင် ဘယ်မဆို သွားနိုင်တယ်။,If you buy a car you can go anywhere
ကျွန်တော့်ကို မြို့ငယ်လေးတစ်မြို့မှာ မွေးခဲ့တယ်။,I was born in a small town
ဒီနေ့ တနင်္ဂနွေနေ့ဆိုပေမဲ့ အလုပ် ရှိတယ်။,Although today is a Sunday I have work
မနက်ဖန် မစ္စတာခိုဘာယာရှိ အလုပ်ရှိလို့ မလာနိုင်ဘူး။,Mr Kobayashi has work tomorrow so he cannot come
အိမ်ကတံခါးရဲ့ရှေ့မှာ ကြောင် ရှိတယ်။,There is a cat in front of the gate of the house
ဒီဟင်းက ဘာမှ မဆမ်းဘဲ စားရတယ်။,We eat this without putting anything on it
အခန်းက မှောင်လို့ မီးကို ထွန်းတယ်။,The room is dark so I will turn on the light
ဂျပန်ကားက ဈေးကြီးပေမဲ့ ကောင်းတယ်။,Japanese cars are expensive but good quality
ဂျပန်စာစာသင်ခန်းက ဘယ်မှာလဲ။,Where is the Japanese classroom
ရှေ့အပတ်က အစ်မရဲ့ မင်္ဂလာပွဲ ရှိလို့။,My sisters wedding party was held last week
မနက်ဖန် ဘယ်သူနဲ့ တွေ့ဖို့ ရှိလဲ။,Who will you meet tomorrow
ကျွန်တော် မနက်တိုင်း လမ်းလျှောက်တယ်။,I take a walk every morning
တနင်္ဂနွေနေ့မှာ တင်းနစ်ရိုက်တယ်။,I play tennis on Sundays
မနက်ဖန် စာမေးပွဲ ရှိလို့ ဒီည စာဖတ်မယ်။,I have a test tomorrow so I will study tonight
မစ္စခိုဘာယာရှိက စကတ်ထက် ဘောင်းဘီကို ပိုကြိုက်တယ်။,Ms Kobayashi likes pants better than skirts
အဖြေ ရေးပြီးတဲ့စာရွက်ကို ထပ်လိုက်ပါ။,Please hand in the paper with the answers written on it
ဒီနေ့ လေမတိုက်ဘူး။,There is no wind today
ဘာ လိုချင်ပါသလဲ။,Which one do you want
မစ္စတာမဆုအိက ဂီတာတီးတတ်တယ်။,Mr Matsui can play the guitar
ဒီညတော့ အချိန် နည်းနည်းကြာကြာလေးလောက် စာဖတ်မယ်လို့ စိတ်ကူးထားတယ်။,I am thinking of studying for a long time this evening
ဒီမဂ္ဂဇင်းက ထူပြီး လေးတယ်။,This magazine is thick and heavy
မစ္စတာတာနာခါဆီက ရခဲ့တဲ့မုန့်ကို စားလိုက်တယ်။,I ate the snack I received from Mr Tanaka
ပန်းခြံမှာ ပန်းလှလှလေးတွေ အများကြီး ပွင့်နေတယ်။,There are a lot of pretty flowers in bloom in the park
ဒီအနီးတဝိုက်ကပင်လယ်က ညစ်ပတ်တယ်။,The sea around here is dirty
ကျောင်းပိတ်တယ်။,There is no school
လူငယ်ပိုင်းတုန်းကဆို ခဏခဏ ရေကူးတယ်။,I used to swim a lot when I was young
ဒီနေ့ မအေးဘူး။,It is not cold today
မစ္စတာတာနာခါ ကိတ်မုန့် ငါးခု ဝယ်ခဲ့တယ်။,Mr Tanaka bought five pieces of cake
မနေ့ကအတန်းက အချိန်ရှည်တယ်။,Yesterdays class was long
ဟိုဘက်က ကောင်းကင်မှာ ငှက်တွေ ပျံနေတယ်။,The bird is flying over there
စာထဲမှာ ရေးထားတယ်။,It was written in the letter
ကျွန်တော် အခု ကွန်ပျူတာ လိုချင်တယ်။,I want a computer now
ဟုတ်ကဲ့၊ ရပါတယ်။,Yes okay
ကျွန်တော့်ကို ရှစ်လပိုင်း နှစ်ဆယ့်ခြောက်ရက်မှာ မွေးခဲ့တယ်။,I was born on  August
အရပ်ပုတဲ့လူကနေစပြီး တန်းစီးမယ်။,We line up in order of height from the shortest
မစ္စတာလီကို ပဲငံပြာရည် ယူပေးလိုက်တယ်။,I passed the soy sauce to Mr Lee
မအိပ်ခင် မီးပိတ်တယ်။,I turn off the lights before I go to sleep
နိုင်ငံခြားမှာ အလုပ်လုပ်ဖို့ စိတ်ကူးနေတယ်။,I am thinking of working abroad
နောင်နှစ် ကျရင် နိုင်ငံခြားခရီးသွားမလို့ စိတ်ကူးနေတယ်။,I am thinking of travelling abroad next year
ကွန်ပျူတာ သုံးပြီး အလုပ်လုပ်တယ်။,I use the computer to work
ထမင်းစားပြီးရင် သွားတိုက်တယ်။,After eating we brush our teeth
အဲဒီအလုပ်ကိုတော့ ကိုယ့်ဟာကိုယ် လုပ်မယ်။,I will do that work by myself
အိမ်ရဲ့ အရှေ့မှာ ကြောင် ရှိတယ်။,There is a cat in front of the house
တစ်နှစ် တစ်ခါ နိုင်ငံခြား သွားတယ်။,I go abroad once a year
ဒီဟင်းကို ကြက်ဥ နှစ်လုံး သုံးရတယ်။,We need two eggs for this dish
ဒါဆိုရင်၊ ဘတ်စကားနဲ့ပဲ ဆေးရုံ သွားမယ်။,Then lets go to the hospital by bus
ဟိုမှာ ကောင်လေးတစ်ယောက် သစ်ပင်ပေါ် တက်နေတယ်။,A boy is climbing a tree over there
အားလုံး အတူတူ ပြန်ခဲ့တယ်။,I went home with everyone
ဒီဟင်းက စားကောင်းမယ့်ပုံမပေါ်ဘူး။,This dish does not look good
ကြက်ဥကို ဆားဖြူးပြီး စားတယ်။,I eat egg with salt
ပန်းခြံမှာ သစ်ပင်တွေ ရှိတယ်။,There is a tree in the park
တံခါး ဖွင့်ပြီး အခန်းထဲ ဝင်မယ်။,I will go into the room by opening the door
မစ္စတာဟယရှိရဲ့ အဘွားက မျက်မှန်တပ်ထားတယ်။,Mr Hayashis grandmother wears glasses
စာကြည့်တိုက်ထဲမှာ မစ္စတာတာနာခါ စာဖတ်နေတာ တွေ့လိုက်တယ်။,I saw Mr Kobayashi studying at the library
မစ္စတာယာမာဒါကို ပိုက်ဆံချေးမယ်။,I will lend money to Mr Yamada
သွားကိုက်လို့ ဘာမှ မစားနိုင်ဘူး။,I cannot eat anything because my teeth hurt
မနေ့က ကုန်တိုက်မှာ အဖြူရောင်ဖိနပ် ဝယ်ခဲ့တယ်။,I bought white shoes at the department store yesterday
အချိန်တိုတိုအတွင်း ဒီအလုပ်ကို မလုပ်လို့မရဘူး။,I must do this work in a short time
ကျွန်တော် မနက်တိုင်း ကြက်ဥ တစ်လုံး စားတယ်။,I eat one egg every morning
မနေ့က တီဗွီ ကြည့်တယ်။ ပြီးတော့ ဂျပန်စာကို လေ့လာတယ်။,I watched TV yesterday After that I studied Japanese
ဒီစာရွက်မှာ မေးခွန်းရဲ့ အဖြေကို ရေးမယ်။,We write our answers on this paper
ကျွန်တော် တနင်္ဂနွေနေ့လည်း အလုပ်လုပ်တယ်။,I work on Sundays too
အဲဒီစူပါမားကက်မှာ ငါး နည်းနည်းပဲ ရှိတယ်။,There arent many fish in that supermarket
အစစအရာရာ ကျေးဇူးတင်ပါတယ်။,Thank you for everything
ကျောင်းက အိမ်နားမှာပါ။,The school is near the house
ဒီတက္ကသိုလ်က ရှေးကျပြီး နာမည်ကြီးတယ်။,This university is old and famous
မစ္စတာခိုဘာယာရှိရဲ့ အိမ်မှာ အိမ်မွေးတိရစ္ဆာန် ရှိတယ်။,Mr Kobayashi has a pet in his house
သူငယ်ချင်းဆီက ခွက်လှလှလေး ရခဲ့တယ်။,I got a cute cup from my friend
ကိတ်မုန့် ခုနစ်ခု ရှိတယ်။,There are seven pieces of cake
မစ္စတာလီက အခု စာကြည့်တိုက်မှာ ရှိတယ်။,Mr Lee is in the library right now
အန္တရာယ် ရှိလို့ ဟိုကပြတင်းပေါက်ကို မဖွင့်ရဘူး။,Dont open that window because it is dangerous
ကျွန်တော့်အခန်းက သိပ် မကျယ်ဘူး။,My room is not that large
မစ္စတာတာနာခါက စာကြည့်တိုက်မှာ စာဖတ်ပေမဲ့ ကျွန်တော်ကတော့ အိမ်မှာပဲ ဖတ်တယ်။,Mr Tanaka studies at the library but I study at home
ဒီပန်းချီက အရောင်လှတယ်။,The colours in this picture are very beautiful
ဒီပန်းက နီပြီး လှနေတာပဲ။,This flower is red and pretty
မစ္စတာခိုဘာယာရှိက အပြာရောင်ရှပ်အင်္ကျီကို ဝတ်ထားတယ်။,Mr Kobayashi is wearing a blue shirt
စာအုပ်ဆိုင်ကနေ ခရီးသွားလမ်းညွှန်စာအုပ် ဝယ်လာတယ်။,I bought a travelling book at a book store
မနေ့ညက အတော် မိုးချုပ်တဲ့အထိ စာဖတ်တယ်။,I was studying until late yesterday evening
အိမ်အဝင်မှာ ဖိနပ်ကို ချွတ်တယ်။,We take off our shoes at the entrance
မစ္စတာခိုဘာယာရှိက ဉာဏ် အရမ်း ကောင်းတယ်။,Mr Kobayashi is very smart
မနက်ဖန် မစ္စတာလီနဲ့ တွေ့ပြီး လက်ဆောင်ပေးမယ်။,I will meet Mr Lee tomorrow and I will give him a souvenir
တနင်္လာနေ့ဆို မနက်ကတည်းက ကျောင်းသွားတယ်။,I will go to school starting Monday morning
ဒီမှာ ပစ္စည်း ထားလို့မရဘူး။,You cannot put things here
ဒါ မနေ့က ဝယ်ခဲ့တဲ့ တိတ်ခွေပါ။,This is the tape I bought yesterday
ကျွန်တော့်ညီမလေးက လေးနှစ်ပါ။,My sister is four years old
အနွေးထည် ယူပြီး အပြင်ထွက်တယ်။,I will bring a jacket and go out
သူငယ်ချင်းဆီက စိတ်ဝင်စားစရာ မကောင်းတဲ့စကားကို ကြားရတယ်။,I listened to a boring story from my friend
မနေ့က ပထမဆုံးအကြိမ် စန္ဒရား စသင်တယ်။,Yesterday I learned piano for the first time
ဟိုကသစ်ပင်ပေါ်မှာ ငှက် ရှိတယ်။,There is a bird on top of that tree
ဘယ်တော့ တင်းနစ်ရိုက်မလဲ။,When do you play tennis
အအေးမိပြီး ကိုယ်အပူချိန် သုံးဆယ့်ရှစ်ဒီဂရီ ရှိတယ်။,I have a cold and my temperature is  degrees
မနှစ်က ကောင်းတဲ့နှစ်တစ်နှစ် ဖြစ်တယ်။,Last year was a good year
မစ္စတာခိမုရက ဉာဏ် အရမ်း ကောင်းတယ်။,Ms Kimura has a very good mind
ညတိုင်း မအိပ်ခင် စာအုပ် ဖတ်တယ်။,Every night I read a book before going to sleep
လွန်ခဲ့တဲ့ငါးနှစ်တုန်းက အမျိုးသမီးနဲ့ လက်ထပ်ခဲ့တယ်။,I married my wife five years ago
သွားနာလို့ ပါးစပ် ဟလို့မရဘူး။,I cannot open my mouth because my teeth hurt
မစ္စတာယာမာဒါဆီက ပိုက်ဆံချေးတယ်။,I will borrow money from Mr Yamada
မစ္စတာမဆုအိဆီကို ပို့စကတ် ပို့မယ်။,I will send a postcard to Mr Matsui
အိမ်သာက လျှောက်လမ်းလေးရဲ့ ဘယ်ဘက်ခြမ်းမှာ ရှိတယ်။,The toilet is on the left side of the hallway
နည်းနည်း အိုက်လို့ ပြတင်းပေါက် ဖွင့်မယ်။,It is a little hot so I will open the window
အပြင်မှာ အေးလို့ ကုမ္ပဏီကို ကုတ်အင်္ကျီ ဝတ်သွားတယ်။,It is cold outside so I will wear a coat and go to work
တီဗွီခလုတ်ကို ဖွင့်မယ်။,We switch on the TV
ဘယ်လိုရုပ်ရှင်မျိုးလဲ။,What kind of film is it
မနေ့က ရှစ်နာရီကြာလောက် အိပ်တယ်။,I slept for eight hours yesterday
ကျွန်တော် မနက်တိုင်း ပေါင်မုန့်နဲ့ ကြက်ဥ စားတယ်။,I eat bread and egg every morning
စားပွဲပေါ်မှာ ဟင်းမျိုးစုံကို စီထားတယ်။,There are various dishes laid out on the table
ကား ဝယ်လိုက်ရင် ပိုက်ဆံ ကုန်သွားမယ်။,If you buy a car your money will be used up
ညတိုင်း နှစ်နာရီကြာလောက် အင်္ဂလိပ်စာကို လေ့လာတယ်။,I study English for two hours every night
မနှစ်ကတည်းက လေ့လာနေတယ်။,I have been studying since last year
ဆိုင်ဝန်ထမ်းကို အစားအသောက် မှာလိုက်တယ်။,I asked the store staff for food
ဒီည ဘူတာမှာ မစ္စတာခိမုရနဲ့ တွေ့မယ်။,I will meet Ms Kimura at the station this evening
အဲဒီကုမ္ပဏီက ကားထုတ်လုပ်နေတယ်။,That company makes cars
ကျွန်တော့်မိဘတွေက ပင်လယ်ကမ်းခြေဘေးနားမှာ နေတယ်။,My parents live near the sea
တမြန်နှစ်က မစ္စတာတာနာခါ တက္ကသိုလ်ထွက်ခဲ့တယ်။,Mr Tanaka graduated from university two years ago
အရွယ်ရောက်ရင် အရက်သောက်လို့ရတယ်။,When you become an adult you can drink alcohol
ပြတင်းပေါက် ဖွင့်ထားတယ်။,The window is open
အိမ်စာတွေ အားလုံး ပြီးပြီ။,I finished all of my homework
ဒီနေ့ သူငယ်ချင်းနဲ့ ညစာ စားမယ်။,I will eat dinner with my friend today
ည ဆယ့်နှစ်နာရီ ရှိပြီ၊ အသံ တိုးတိုး ပြောမယ်။,We will talk in a quiet voice because it is already midnight
မစ္စတာခိုဘာယာရှိက အပြာရောင်ထီးကို ကိုင်ထားတယ်။,Mr Kobayashi has a blue umbrella
အသီးကို ထက်ခြမ်း ခြမ်းတယ်။,I cut the fruit in half
တော်ကြာကျရင် စာကြည့်တိုက်မှာ စာအုပ် သွားအပ်မယ်။,I will go to the library later to return a book
အင်း၊ ကောင်းပါတယ်။,Yes okay
နေမကောင်းလို့ ကျောင်းမသွားဘူး။,I was absent from school because I was ill
ကျောင်းမသွားဘူး။,I will be absent from school
မစ္စတာခိမုရ ဘယ်တစ်ခုကို ကြိုက်လဲ။,Ms Kimura which one do you like
မနက်ဖန်ရဲ့ ရာသီဥတုအခြေအနေကတော့ မိုးရွာပါမယ်။,The weather will be rainy tomorrow
တီဗွီက စန္ဒရားဘေးမှာ ရှိတယ်။,There is a TV next to the piano
စာကြည့်တိုက်က မနက်နာရီကနေ ညနာရီအထိ ဖွင့်ပါတယ်။,The library is open from  in the morning to  in the evening
ဟုတ်ကဲ့ အမိန့်ရှိပါ။ မဆုအိပါ ရှင်။,Yes hello This is Matsui
အားနာစရာကောင်းလိုက်တာ။,Im very sorry
မစ္စတာတာနာခါရဲ့ မွေးရပ်က တိုကျိုပါ။,Mr Tanaka was born in Tokyo
လေးတဲ့ သေတ္တာကို ယောကျ်ားလေးက သယ်မယ်။,A man will carry the heavy box
ပေါင်မုန့်တို့ ကြက်ဥတို့ စားတယ်။,I eat bread egg and so on
နောက်နှစ် နွေဦးကျရင် အစ်မ မင်္ဂလာဆောင်မယ်။,My sister will marry next spring
ဘူတာကနေ ကျောင်းကို ဝေးလို့ ဘတ်စကား စီးတယ်။,It is far from the station to school so I ride the bus
နောက်လ ကိုးရက်နေ့မှာ မိဘတွေ ကျွန်တော့်အိမ်ကို လာလည်မယ်။,My parents will come to my house on the ninth of next month
နေ့တိုင်း ရေဒီယိုနဲ့ သတင်း နားထောင်တယ်။,I listen to the news on the radio every day
ဂျပန်တေးဂီတကို နားထောင်ချင်တယ်။,I would like to listen to Japanese music
အန္တရာယ်ရှိလို့ အဲဒီကို မသွားပါနဲ့။,Dont go that way because it is dangerous
တစ်ဆိတ်လောက်၊ တောင်းဆိုပါရစေ။,Excuse me a second
ကျွန်တော် နောက်နှစ်ကစပြီး ဒီမြို့မှာ နေမယ်။,I will live in this town from next year
မနေ့က ကြည့်ခဲ့တဲ့ရုပ်ရှင် အရမ်း စိတ်ဝင်စားဖို့ကောင်းတယ်။,The film I saw yesterday was interesting
ကျွန်တော် လမ်းလျှောက်တာ အရမ်း နှေးတယ်။,I walk very slowly
နားရက်မှာ မိုးရွာရင်တော့ အပြင်မထွက်ဘူး။,I will not go out on holidays if it rains
ကျွန်တော် တစ်ခါတလေ ဒီကုန်စိမ်းဆိုင်မှာ ဈေးဝယ်တယ်။,I sometimes shop at this vegetable shop
ရထားပေါ်မှာ ထီး မေ့ကျန်ခဲ့တယ်။,I left my umbrella on the train
ထမင်း မစားခင် လက်ဆေးတယ်။,I wash my hands before eating
မနေ့က ကုမ္ပဏီ ခွင့်ယူပြီး ဆေးရုံ သွားတယ်။,I took a day off work to go to the hospital
ကျွန်တော် ဘယ်ဘက်လက်နဲ့ တူကို ကိုင်တယ်။,I use my chopsticks with my left hand
မစ္စတာမဆုအိက မစ္စတာတာနာခါရဲ့ မွေးနေ့အတွက် နက်ကတိုင် လက်ဆောင်ပေးတယ်။,Mr Matsui gave a tie to Mr Tanaka for his birthday
ပူလို့ ဆွယ်တာ ချွတ်မယ်။,I will take off my sweater because it is hot
အဲဒီတက္ကသိုလ်ကို သွားမယ်ဆိုရင် စက်ဘီးက အဆင်ပြေတယ်။,It is easier to use a bicycle if you are going to that university
ကွန်ပျူတာ သုံးနေတယ်၊ ခလုတ် မပိတ်လိုက်ပါနဲ့။,We are using the computer Please do not switch it off
ဒီနေ့ မနက်စာ မစားခဲ့ဘူး။,I did not eat breakfast today
မတ်တပ်ရပ်ပြီး သီချင်းဆိုတယ်။,I will stand and sing a song
တိရစ္ဆာန်ငယ်လေးတွေက အရမ်း ချစ်ဖို့ကောင်းတယ်။,That animal is very cute
ရှေ့အပတ်က အလုပ်များလို့ စာမလုပ်နိုင်ဘူး။,I was busy last week so I could not study
ကျွန်တော် ဆိတ်ငြိမ်ပြီး လှပသန့်ရှင်းတဲ့နေရာကို သွားချင်တယ်။,I would like to go to a quiet and beautiful place
ဒီမှာ ရှိတဲ့ကလေးတွေ အားလုံး တစ်ကျောင်းတည်းက တပည့်တွေပါ။,The children here are all students from the same school
ဟိုဘက်က မစ္စတာယာမာဒါပါ။,That is Mr Yamada
ကိုကာကိုလာ နှစ်ခွက် ပေးပါ။,Two bottles of CocaCola please
တပည့်တွေက စင်္ကြံမှာ တန်းနေအောင် တန်းစီတယ်။,The students are lined up in a straight line in the hallway
နေ့ခင်း နားတဲ့အချိန်မှ ပြန်ပေးလို့ရမလား။,Can I give it back to you after lunch break
စားသောက်ဆိုင်ကထမင်းက ဈေးပေါတယ်။ ပြီးတော့ စားလို့လည်း ကောင်းတယ်။,The food at the cafeteria is cheap and it tastes good
ဒီနေ့ မိုးရွာလို့ တစ်နေ့လုံး အိမ်မှာ ရှိတယ်။,It was raining yesterday so I was at my house the whole day
ကျွန်တော် စားသောက်ဆိုင်မှာ နေ့လယ်စာ စားပြီးသွားပြီ။,I have already had lunch at the cafeteria
အိမ်ရှေ့မှာ မျက်နှာစိမ်း နှစ်ယောက် ရှိတယ်။,There are two people I do not know in front of the house
မနက်တိုင်း ပေါင်မုန့် စားပြီး နွားနို့ သောက်တယ်။,I eat bread and drink milk every morning
မစ္စတာခိုဘာယာရှိက မစ္စတာတာနာခါကို အလုပ်လုပ်ပေးဖို့ တောင်းဆိုတယ်။,Mr Tanaka was asked to do work by Mr Hayashi
အဖျားရှိလို့ ဒီနေ့ ကျောင်းမသွားဘူး။,I will be absent from school because I have a fever
အင်္ဂါနေ့ မကျော်ခင်အထိ စာအုပ် ပြန်မအပ်လို့မဖြစ်ဘူး။,You must return the book by Tuesday
မစ္စတာခိုဘာယာရှိ ဆိုတာ ဘယ်သူပါလဲ။,Who is Mr Kobayashi
မစ္စတာမဆုအိက မစ္စတာခိုဘာယာရှိနဲ့ စကားပြောနေတယ်။,Mr Matsui is talking with Mr Kobayashi
သောက်ထားလို့ ခွက်ကို ပြောင်အောင် ဆေးတယ်။,After drinking I wash the glass clean
မွေးနေ့မှာ အဝါရောင်လက်ကိုင်ပဝါလေး လက်ဆောင်ရတယ်။,I received a yellow handkerchief for my birthday
ရေချိုးခန်းထဲမှာ ခေါင်းလျှော်ရည် မရှိဘူး။,There was no shampoo in the bath
အိမ်ပြန်ရင် ရေ အရင် ချိုးမယ်။,When I get home I take a shower first
ဘေးကစာသင်ခန်းက အယောက်တစ်ရာလောက် ဆံ့တယ်။,A hundred people can fit in the room next to ours
မစ္စတာမဆုအိရဲ့ အိမ်က ကျွန်တော့်အိမ်ရဲ့ ဘေးမှာ ရှိတယ်။,Mr Matsuis house is near my house
လင်းလင်းထိန်ထိန် ရှိတဲ့ နေရာမှာ စာဖတ်တယ်။,I will study somewhere bright
မစ္စတာခိမုရကို အင်္ဂလိပ်စာ သင်တယ်။,I will teach Ms Kimura English
မစ္စတာမဆုအိက ဟင်းချက် တော်တယ်။,Mr Matsui is good at cooking
ရထားတံခါး ပိတ်မယ်။,The door to the train will shut
ကျွန်တော် ညီမလေးရဲ့ အိမ်စာကို ကြည့်ပေးတယ်။,I helped my little sister with her homework
ဟာ ၊ မစ္စတာတာနာခါ မင်္ဂလာညချမ်းပါ။,Ah Mr Tanaka good evening
တစ်ဆိတ်လောက် မေးပါရစေ၊ အိမ်သာက ဘယ်နားမှာပါလဲ။,Excuse me where is the toilet
စာအုပ်က လွယ်အိတ်ထဲမှာပါ။,The book is in the bag
အဲဒီအမျိုးသားက အရပ်ကြီး မြင့်ပြီး ခြေထောက်ကြီးကလည်း အရှည်ကြီး။,That man is tall and has long legs
အဲဒီမှာ ဆိုင်တွေ အများကြီး တန်းစီနေတာပဲ။,There are a lot of stores over there that are lined up
ဒီအခန်းမှာ ဆေးလိပ် သောက်လို့မရဘူး။,Dont smoke in this room
ဒီမှာ တံဆိပ်ခေါင်း ရှစ်ခု ရှိတယ်။,There are eight stamps here
ကျွန်တော် အရောင်တွေထဲမှာ အဖြူရောင်ကို အကြိုက်ဆုံးပဲ။,I like white the best of all the colours
ခြံထဲမှာ ကား မရှိဘူး။ အမေ အပြင်ထွက်သွားတယ် ထင်တယ်။,The car is not in the yard It looks like my mother is out
မစ္စတာတာနာခါက ပင်ပန်းတဲ့အလုပ်တွေ လုပ်နေတယ်။,Mr Tanaka is doing a hard job
ဟိုထောင့်ကနေ ညာဘက်ကွေ့ရင် စူပါမားကက် ရှိတယ်။,If you turn right at that corner there is a supermarket
မစ္စတာလီက ဂျပန်မှာ သုံးနှစ် နေမယ်လို့ စဉ်းစားထားတယ်။,Mr Lee will be in Japan for three years
ကျွန်တော့်အခန်းထက် ညီလေးရဲ့ အခန်းက ပိုကျဉ်းတယ်။,My brothers room is smaller than my room
အလုပ် ပြီးရင် ညစာ သွားစားမယ်။,I will go eat dinner after I finish work
ဒီနားမှာ အဆောက်အအုံ ခပ်မြင့်မြင့်တွေ မရှိဘူး။,There arent a lot of tall buildings around here
မစ္စတာခိမုရက ကျွန်တော့်ကို မုန့် ပေးတယ်။,Ms Kimura gave me a snack
အလုပ်က ပင်ပန်းပေမဲ့ စိတ်ဝင်စားဖို့ ကောင်းတယ်။,Although work is busy it is fun
ဒီထွက်ပေါက်ကနေ ထွက်ရင် စာကြည့်တိုက်နဲ့ အနီးဆုံးကို ရောက်မယ်။,If you use this exit it is the closest to the library
သူငယ်ချင်းနဲ့ ဥရောပကို အလည်သွားမလားလို့ စိတ်ကူးနေတယ်။,I am thinking of travelling to Europe with my friend
ဒါ မော်တော်ကားမဂ္ဂဇင်းပါ။,This is a car magazine
နောက်အပတ်ကစပြီး နေ့တိုင်း စာမေးပွဲ ရှိတယ်။,Starting next week we have a test every day
အိတ်ကပ်ထဲ ပိုက်ဆံ ထည့်တယ်။,I will put money in my pocket
ရှစ်လပိုင်း တစ်ရက်နေ့ကနေ ကိုးလပိုင်း သုံးဆယ်ရက်နေ့အထိက နွေရာသီပိတ်ရက်ပါ။,Our summer vacation is from  August to  September
သူငယ်ချင်းနဲ့ ဈေးဝယ်ပြီး ကော်ဖီဆိုင် ဝင်ဖြစ်တယ်။,I went shopping with my friend and then we entered a cafe
ဒီအရောင်က အရမ်း လှတယ်။,This colour is very pretty
အမေ အမြဲတမ်း ကျွန်တော့်ကို ဈေးဝယ်ခိုင်းတယ်။,My mum always asks me to do the shopping
ဟင့်အင်း၊ မသွားဘူး။,No I wont go
ကျွန်တော် တစ်ခါတလေ အဲဒီကစာအုပ်ဆိုင်ကို သွားတယ်။,I sometimes go to the bookstore over there
မစ္စတာတာနာခါ နောက်လ နှစ်ရက်နေ့မှာ နိုင်ငံခြား သွားမယ်။,Mr Tanaka will go overseas on the second next month
မစ္စတာမဆုအိက ကျွန်တော့်ကို ကော်ဖီဖျော်ပေးတယ်။,Mr Matsui poured me some coffee
မိုးရွာလည်း စက်ဘီးနဲ့ သွားတယ်။,Even if it rains I go by bicycle
ဒီနေရာက ဂျပန်မှာ နာမည်အကြီးဆုံးနေရာ။,This place is a very famous place in Japan
မစ္စတာဟယရှိရဲ့ အိမ်မှာ ကြောင် တစ်ကောင် ရှိတယ်။,Mr Hayashi has one cat in his house
ထိုင်ခုံအောက်မှာ ကြောင် ရှိတယ်။,There is a cat under the chair
ခန်းဂျီးတွေ အများကြီး မှတ်ရမှာမို့ ဒုက္ခရောက်နေတယ်။,It is challenging because I must learn a lot of kanji
မစ္စတာမဆုအိက အဖြူရောင်အင်္ကျီကို ဝတ်ထားတယ်။,Mr Matsui is wearing a white shirt
ဟိုအိတ်က ကျွန်တော့်အိတ်နဲ့ အတူတူပဲ။,That bag is the same as mine
ဘတ်စကားနဲ့ ကျောင်းသွားတယ်။,I go to school by bus
မနက်ဖန် ဆရာ့ဆီ စာစီစာကုံး ထပ်မယ်။,I will hand in the composition to the teacher tomorrow
နောက်တစ်ရက်က ပိတ်ရက်မို့လို့ သောကြာနေ့ဆို အမြဲတမ်း သူငယ်ချင်းနဲ့ လျှောက်လည်တယ်။,I always play with my friends on Fridays because the next day is a day off
စာရေးခုံပေါ်မှာ ဖတ်စာအုပ်နဲ့ မှတ်စုစာအုပ် ရှိတယ်။,There are a book and a notebook on the desk
ကျွန်တော် မနေ့ကတည်းက လည်ချောင်းနာနေတယ်။,My throat hurts from yesterday
မနေ့က ဖျားလို့ ကျောင်းမသွားဘူး။,I didnt go to school because I had a fever yesterday
မနက်ဖန် အတန်းမရှိလို့ ကျောင်းမသွားဘူး။,I am not going to school tomorrow because I dont have class
